"Rank","Title","Year","Journal","Citations","First Author"
"1","Ultrastructural analysis of collagen fibrils and proteoglycans in keratoconus","2008","Acta Ophthalmologica","109","Akhtar S."
"2","Corneal Collagen Cross-Linking for Keratoconus in Pediatric Patients - Long-Term Results","2017","Cornea","83","Padmanabhan P."
"3","ZNF469 frequently mutated in the brittle cornea syndrome (BCS) is a single exon gene possi","2013","Molecular Genetics and Metabolism","74","Rohrbach M."
"4","Inverse relationship between age and severity and sequelae of acute corneal hydrops associ","2007","British Journal of Ophthalmology","70","Al Suhaibani A.H."
"5","Boston Type 1 Keratoprosthesis versus Repeat Donor Keratoplasty for Corneal Graft Failure:","2016","Ophthalmology","69","Ahmad S."
"6","Lamellar Corneal Transplantation","2012","Survey of Ophthalmology","64","Arenas E."
"7","Comparison between central corneal thickness measurements by oculus pentacam and ultrasoni","2008","International Ophthalmology","63","Al-Mezaine H.S."
"8","Keratoconus epidemiology: A review","2022","Saudi Journal of Ophthalmology","61","Gomes J.A.P."
"9","Corneal collagen crosslinking in the treatment of infectious keratitis","2011","Clinical Ophthalmology","60","Anwar H.M."
"10","Penetrating keratoplasty in congenital hereditary endothelial dystrophy","1997","Ophthalmology","48","Al-Rajhi A.A."
