title,year,journal,source
"Pediatric keratoconus in a tertiary eye hospital in Eastern province, Saudi Arabia: Patient characteristics and management outcomes",2024,Saudi J Ophthalmol,PubMed
Artificial intelligence as diagnostic modality for keratoconus: A systematic review and meta-analysis,2024,J Taibah Univ Med Sci,PubMed
Quality of life of a sample of people with keratoconus in KSA,2023,J Taibah Univ Med Sci,PubMed
Unilateral keratoconus associated with iridocorneal endothelial syndrome: Case report,2023,Saudi J Ophthalmol,PubMed
"Spherical equivalent pre- and post-implantable collamer lens implantation in patients with myopia, hyperopia, and stable keratoconus",2023,Saudi J Ophthalmol,PubMed
Protective and pathogenic role of collagen subtypes genes COL4A3 and COL4A4 polymorphisms in the onset of keratoconus in South-Asian Pakistani cohort,2023,Saudi J Biol Sci,PubMed
Normative Values for Corneal Tomography and Comparison of Both Eyes in Young Saudi Males with 20/20 Vision Using Pentacam-HR Scheimpflug Imaging,2022,Clin Ophthalmol,PubMed
Combined corneal wavefront-guided transepithelial photorefractive keratectomy and accelerated corneal collagen cross-linking following intracorneal ring segment implantation in management of moderate keratoconus,2022,Saudi J Ophthalmol,PubMed
A need to maximize updates on detecting keratoconus,2022,Saudi J Ophthalmol,PubMed
Demographic and clinical variations of keratoconus in Saudi population,2022,Saudi J Ophthalmol,PubMed
Validation of the Arabic version of the quality of life impact of refractive correction questionnaire,2022,Saudi J Ophthalmol,PubMed
Accelerated versus conventional corneal collagen crosslinking: Short-term clinical outcomes in stabilizing keratoconus,2022,Saudi J Ophthalmol,PubMed
Long-term outcomes and causes of intrastromal corneal ring segment explantation in a tertiary eye hospital,2022,Saudi J Ophthalmol,PubMed
Corneal elevation indices and pachymetry values of Saudi myopes using scheimpflug imaging,2020,Saudi Med J,PubMed
Corneal deposits following topical moxifloxacin use,2019,Saudi J Ophthalmol,PubMed
Successful Treatment of Corneal Opacification with Associated Thickened Epithelium by Simple Peeling: Acquired Corneal Subepithelial Hypertrophy (ACSH),2019,Saudi J Ophthalmol,PubMed
Terminology of Peters' anomaly variants: Summary of histopathological findings in 6 corneas and detailed clinicopathological correlation in 2 cases,2019,Saudi J Ophthalmol,PubMed
Comparison of manual and femtosecond laser arcuate keratotomy procedures for the correction of post-keratoplasty astigmatism,2019,Saudi J Ophthalmol,PubMed
Assessment of visual function and Vision-related Quality of Life in female contact lens wearers with Dry Eye Syndrome,2018,Saudi J Ophthalmol,PubMed
Prevalence of keratoconus among patients seeking laser vision correction in Taif area of Saudi Arabia,2018,Saudi J Ophthalmol,PubMed
Current techniques of lamellar keratoplasty for keratoconus,2016,Saudi Med J,PubMed
"A steep peripheral ring in irregular cornea topography, real or an instrument error?",2016,Saudi J Ophthalmol,PubMed
Morphometric changes of corneal endothelial cells following intracameral air for micro perforation of the Descemet Membrane during big-bubble deep anterior lamellar keratoplasty,2016,Saudi J Ophthalmol,PubMed
Corneal collagen crosslinking for progressive keratoconus in Saudi Arabia: One-year controlled clinical trial analysis,2015,Saudi J Ophthalmol,PubMed
Indications and techniques employed for keratoplasty in the Eastern province of Saudi Arabia: 6 years of experience,2015,Ann Saudi Med,PubMed
Penetrating keratoplasty for keratoconus: visual and graft survival outcomes,2013,Int J Health Sci (Qassim),PubMed
Corneal ectasia following LASIK,2011,Saudi J Ophthalmol,PubMed
Anterior chamber depth in normal subjects by rotating scheimpflug imaging,2011,Saudi J Ophthalmol,PubMed
Late onset corneal ectasia after LASIK surgery,2011,Saudi J Ophthalmol,PubMed
Deep anterior lamellar Keratoplasty,2009,Saudi J Ophthalmol,PubMed
